LAMMPS FCC Model for CoCuFeNiPd

  8788 atoms

 5 atom types

-1.2530497314545641e+00 4.6253049731452897e+01 xlo xhi
-1.2551195373430890e+00 4.6255119537342502e+01 ylo yhi
-1.2485814740622672e+00 4.6248581474063855e+01 zlo zhi

Atoms
id type x y z
6349 1 3.41089 17.9184 32.5451 
6397 5 -0.264201 21.6084 32.492 
6401 2 3.34039 21.5982 32.5068 
6346 5 1.51095 17.9253 34.3468 
6351 4 3.38896 19.7874 34.3493 
7753 4 3.37638 21.6042 39.933 
6347 1 -0.324765 19.7589 34.3777 
7749 2 -0.349088 21.5766 39.9494 
6398 2 1.56285 21.6182 34.3604 
7021 1 -0.341558 17.8896 36.1914 
7022 3 1.48558 17.894 38.0265 
7023 3 -0.333924 19.6951 37.9905 
7024 5 1.51831 19.7702 36.2074 
7025 5 3.37362 17.8871 36.2207 
7027 1 3.35298 19.7397 38.0908 
7073 2 -0.306437 21.6268 36.1241 
7074 5 1.5244 21.624 38.0317 
7077 1 3.37529 21.616 36.1801 
7697 4 -0.354191 17.8957 39.8642 
7700 5 1.49318 19.7403 39.8817 
7701 1 3.36066 17.8908 39.8422 
7698 5 1.49742 17.8645 41.7239 
7699 3 -0.398644 19.7411 41.7264 
7703 2 3.38379 19.7465 41.6957 
7750 1 1.49578 21.5946 41.736 
8373 4 -0.378011 17.8764 43.5141 
8374 2 1.47748 17.8286 45.2896 
8375 1 -0.38545 19.7851 45.314 
8376 5 1.45419 19.7629 43.5179 
8377 4 3.40362 17.8472 43.481 
8379 5 3.37098 19.744 45.2872 
8425 4 -0.357186 21.6213 43.4997 
8426 3 1.45615 21.6453 45.317 
8429 1 3.32391 21.6022 43.473 
315 1 -0.280638 23.485 1.52489 
316 3 1.47135 23.4176 -0.336097 
319 4 3.29501 23.4563 1.4665 
365 3 -0.255585 25.2177 -0.297977 
366 1 1.54015 25.2134 1.5014 
367 3 -0.268228 27.0471 1.52321 
368 5 1.51065 27.0653 -0.352699 
369 4 3.305 25.2409 -0.360351 
371 4 3.34233 27.0118 1.48493 
992 2 1.53449 23.435 3.35054 
1041 4 -0.285783 25.2543 3.28934 
1044 2 1.53277 27.0415 3.27696 
1045 3 3.39259 25.2291 3.29437 
991 4 -0.289022 23.3563 5.1025 
995 4 3.40431 23.4175 5.13883 
1042 5 1.55143 25.2653 5.14334 
1043 3 -0.230773 27.1097 5.16 
1047 2 3.37626 27.0661 5.20326 
1667 2 -0.236496 23.4171 8.8376 
1668 5 1.51468 23.3886 6.97266 
1671 2 3.34774 23.4014 8.8424 
1717 2 -0.239159 25.3171 7.01108 
1718 4 1.52597 25.2706 8.83893 
1719 1 -0.267507 27.0757 8.82043 
1720 3 1.5355 27.0981 7.05034 
1721 2 3.37433 25.2592 7.06801 
1723 1 3.34191 27.0418 8.83225 
2396 4 1.5589 27.0428 10.5644 
2397 2 3.36136 25.189 10.5842 
2343 3 -0.226865 23.4006 12.3848 
2344 4 1.55027 23.404 10.6218 
2347 4 3.37525 23.4017 12.4184 
2393 4 -0.252982 25.2591 10.6259 
2394 4 1.57544 25.1824 12.3872 
2395 2 -0.243604 27.0187 12.396 
3075 4 3.3646 26.9951 16.1295 
3073 1 3.35705 25.1833 14.249 
2399 5 3.35253 27.0466 12.3851 
3019 3 -0.30227 23.4305 16.1569 
3020 4 1.60286 23.4126 14.1988 
3023 4 3.43308 23.4366 16.1099 
3069 5 -0.263479 25.2093 14.2098 
3070 5 1.59613 25.1733 16.1519 
3071 5 -0.28572 27.0074 16.142 
3072 3 1.61858 27.0152 14.2401 
3695 1 -0.290941 23.4381 19.8282 
3696 3 1.51336 23.4272 18.0381 
3699 4 3.34439 23.4621 19.8216 
3745 3 -0.231346 25.2081 18.0457 
3746 1 1.55915 25.2019 19.7953 
3747 3 -0.281909 27.0304 19.8135 
3748 4 1.54755 27.0148 18.0598 
3749 1 3.38288 25.1803 17.987 
3751 2 3.44422 27.0343 19.7789 
4372 1 1.49479 23.455 21.5938 
4421 3 -0.28749 25.2223 21.6048 
4424 5 1.58601 27.0726 21.5677 
4425 3 3.39523 25.2308 21.5855 
4371 1 -0.287335 23.4209 23.3737 
4375 5 3.34192 23.3983 23.3657 
4422 1 1.5283 25.2455 23.4028 
4423 5 -0.269019 27.1169 23.4192 
4427 2 3.34208 27.0756 23.463 
5047 3 -0.343878 23.4567 27.0991 
5048 5 1.49571 23.4051 25.2314 
5051 4 3.31119 23.4355 27.0819 
5097 1 -0.28205 25.2326 25.2465 
5098 3 1.46989 25.2165 27.0632 
5099 3 -0.227781 27.0631 27.0361 
5100 1 1.51189 27.0765 25.2511 
5101 4 3.29427 25.2694 25.2517 
5103 5 3.30617 27.0768 27.0667 
5723 3 -0.283467 23.4525 30.6663 
5724 4 1.50191 23.4567 28.9032 
5727 3 3.3239 23.4089 30.6516 
5773 3 -0.279288 25.2366 28.8698 
5774 3 1.52391 25.2402 30.6779 
5775 1 -0.283567 27.0299 30.6974 
5776 2 1.46782 27.0562 28.8832 
5777 1 3.27552 25.2206 28.8652 
5779 1 3.2976 27.0616 30.6205 
6400 2 1.5774 23.4199 32.4494 
6449 1 -0.288814 25.1963 32.4645 
6452 2 1.50592 27.0384 32.459 
6453 4 3.34192 25.2578 32.4832 
6399 1 -0.292165 23.4176 34.3045 
6450 5 1.55701 25.2067 34.3175 
6451 2 -0.254701 27.0739 34.2964 
7805 3 3.37579 25.2366 39.9112 
6403 3 3.38219 23.396 34.3886 
7804 4 1.54275 27.0271 39.9204 
7801 1 -0.316193 25.2397 39.9291 
6455 3 3.31034 27.0406 34.3874 
7075 2 -0.330566 23.4634 38.0875 
7076 1 1.59121 23.3967 36.1848 
7079 3 3.37728 23.4505 38.0509 
7125 5 -0.228258 25.2368 36.2126 
7126 2 1.57891 25.2249 38.0782 
7127 2 -0.22806 27.0163 38.1161 
7128 1 1.63253 27.0622 36.2173 
7129 3 3.32689 25.2061 36.2193 
7131 1 3.31368 27.0146 38.0847 
7752 5 1.52934 23.4294 39.9366 
7751 3 -0.340142 23.4199 41.7337 
7755 4 3.34391 23.4268 41.7093 
7802 4 1.51176 25.2335 41.7001 
7803 1 -0.260854 27.0521 41.6628 
